bearing,delay,timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,signMessageLong,tripID,vehicle_id,vehicle_location_longitude,vehicle_location_latitude
52,-235,2017-01-31 01:26:59,8345,19,8346,20,MAX  Red Line to Airport,7126434,207,-122.602085,45.529090000000004
114,-259,2017-01-31 01:30:04,8346,20,8347,21,MAX  Red Line to Airport,7126434,207,-122.57666200000001,45.532821999999996
42,-352,2017-01-31 01:39:09,10572,23,10574,24,MAX  Red Line to Airport,7126434,207,-122.5632,45.560901
270,-320,2017-01-31 01:40:58,10574,24,10576,25,MAX  Red Line to Airport,7126434,207,-122.56148,45.572588
299,-342,2017-01-31 01:44:02,10576,25,10579,26,MAX  Red Line to Airport,7126434,207,-122.571721,45.580453000000006
1,-355,2017-01-31 01:38:29,11616,22,10572,23,MAX  Red Line to Airport,7126434,207,-122.56710600000001,45.556137
111,1,2017-01-31 01:00:44,8333,7,8334,8,MAX  Red Line to Airport,7126434,327,-122.679934,45.518683
109,-49,2017-01-31 01:04:55,8335,9,8336,10,MAX  Red Line to Airport,7126434,327,-122.674803,45.517254
357,-52,2017-01-31 01:09:23,8338,12,8339,13,MAX  Red Line to Airport,7126434,327,-122.671347,45.524104
359,-48,2017-01-31 01:10:03,8339,13,8340,14,MAX  Red Line to Airport,7126434,327,-122.671407,45.525672
90,-110,2017-01-31 01:14:32,8340,14,8341,15,MAX  Red Line to Airport,7126434,327,-122.66436499999999,45.530084
89,-115,2017-01-31 01:15:47,8341,15,8342,16,MAX  Red Line to Airport,7126434,327,-122.66093500000001,45.530076
90,-74,2017-01-31 01:17:21,8342,16,8343,17,MAX  Red Line to Airport,7126434,327,-122.65590800000001,45.53006
89,-169,2017-01-31 01:20:26,8343,17,8344,18,MAX  Red Line to Airport,7126434,327,-122.65244399999999,45.530055
107,-200,2017-01-31 01:24:24,8344,18,8345,19,MAX  Red Line to Airport,7126434,327,-122.620224,45.532643
52,-235,2017-01-31 01:26:59,8345,19,8346,20,MAX  Red Line to Airport,7126434,327,-122.602085,45.529090000000004
114,-259,2017-01-31 01:30:04,8346,20,8347,21,MAX  Red Line to Airport,7126434,327,-122.57666200000001,45.532821999999996
42,-352,2017-01-31 01:39:09,10572,23,10574,24,MAX  Red Line to Airport,7126434,327,-122.5632,45.560901
270,-320,2017-01-31 01:40:58,10574,24,10576,25,MAX  Red Line to Airport,7126434,327,-122.56148,45.572588
299,-342,2017-01-31 01:44:02,10576,25,10579,26,MAX  Red Line to Airport,7126434,327,-122.571721,45.580453000000006
1,-355,2017-01-31 01:38:29,11616,22,10572,23,MAX  Red Line to Airport,7126434,327,-122.56710600000001,45.556137
110,9,2017-01-31 01:29:49,8333,7,8334,8,MAX  Red Line to Airport,7126435,302,-122.68071,45.518892
111,-16,2017-01-31 01:32:47,8334,8,8335,9,MAX  Red Line to Airport,7126435,302,-122.677826,45.518122999999996
116,-52,2017-01-31 01:34:32,8335,9,8336,10,MAX  Red Line to Airport,7126435,302,-122.67540600000001,45.517463
22,-89,2017-01-31 01:36:18,8336,10,8337,11,MAX  Red Line to Airport,7126435,302,-122.67340700000001,45.517982
21,-84,2017-01-31 01:37:43,8337,11,8338,12,MAX  Red Line to Airport,7126435,302,-122.671709,45.521186
358,-50,2017-01-31 01:39:51,8338,12,8339,13,MAX  Red Line to Airport,7126435,302,-122.671396,45.525178000000004
359,-67,2017-01-31 01:40:23,8339,13,8340,14,MAX  Red Line to Airport,7126435,302,-122.671407,45.525672
90,-34,2017-01-31 01:43:46,8340,14,8341,15,MAX  Red Line to Airport,7126435,302,-122.662834,45.530077
89,-82,2017-01-31 01:45:14,8341,15,8342,16,MAX  Red Line to Airport,7126435,302,-122.66093500000001,45.530076
90,-139,2017-01-31 01:48:29,8342,16,8343,17,MAX  Red Line to Airport,7126435,302,-122.65590800000001,45.53006
90,-222,2017-01-31 01:51:21,8343,17,8344,18,MAX  Red Line to Airport,7126435,302,-122.652179,45.530057
107,-267,2017-01-31 01:55:31,8344,18,8345,19,MAX  Red Line to Airport,7126435,302,-122.620224,45.532643
53,-301,2017-01-31 01:58:30,8345,19,8346,20,MAX  Red Line to Airport,7126435,302,-122.598418,45.531037
111,36,2017-01-31 01:26:38,9758,6,8333,7,MAX  Red Line to Airport,7126435,302,-122.688845,45.521066999999995
19,48,2017-01-31 01:25:03,9759,5,9758,6,MAX  Red Line to Airport,7126435,302,-122.690699,45.52109
37,0,2017-01-31 01:00:12,9821,26,9821,1,MAX  Red Line to Airport,7126435,302,-122.80121499999998,45.491709
117,19,2017-01-31 01:13:14,9969,2,10120,3,MAX  Red Line to Airport,7126435,302,-122.775131,45.507893
21,4,2017-01-31 01:23:32,10118,4,9759,5,MAX  Red Line to Airport,7126435,302,-122.692508,45.518361999999996
79,-5,2017-01-31 01:19:00,10120,3,10118,4,MAX  Red Line to Airport,7126435,302,-122.713943,45.510831
110,9,2017-01-31 01:29:49,8333,7,8334,8,MAX  Red Line to Airport,7126435,307,-122.68071,45.518892
111,-16,2017-01-31 01:32:47,8334,8,8335,9,MAX  Red Line to Airport,7126435,307,-122.677826,45.518122999999996
116,-52,2017-01-31 01:34:32,8335,9,8336,10,MAX  Red Line to Airport,7126435,307,-122.67540600000001,45.517463
22,-89,2017-01-31 01:36:18,8336,10,8337,11,MAX  Red Line to Airport,7126435,307,-122.67340700000001,45.517982
21,-84,2017-01-31 01:37:43,8337,11,8338,12,MAX  Red Line to Airport,7126435,307,-122.671709,45.521186
